segment,E,N,U
map,-164.8673763871193,81.21586992172524,-2.9290531873703003
map,-165.17139250040054,80.87565233139321,-2.923679232597351
map,-165.47403532266617,80.53858568100259,-2.9190677404403687
map,-165.77629667520523,80.20596696762368,-2.914305567741394
map,-166.0755062699318,79.87550737289712,-2.915274500846863
map,-166.3684750199318,79.54117204574868,-2.920005679130554
map,-166.65988737344742,79.20716478256509,-2.9262365102767944
map,-166.95224577188492,78.8753547850065,-2.9330753087997437
map,-167.24480253458023,78.54402543930337,-2.9412115812301636
map,-167.53677946329117,78.21306230453774,-2.9457048177719116
map,-167.82431608438492,77.87930681137368,-2.9467958211898804
map,-168.10611540079117,77.54274370102212,-2.951666235923767
map,-168.3864193558693,77.20682908920571,-2.95382297039032
map,-168.6640072464943,76.87022020248696,-2.9539483785629272
map,-168.9386654496193,76.5320701780729,-2.9612897634506226
map,-169.20749479532242,76.19115831283852,-2.968279242515564
map,-169.46907621622086,75.84516527084634,-2.9726990461349487
map,-169.72849088907242,75.4981346311979,-2.9699586629867554
map,-169.98454862833023,75.1487693968229,-2.9674867391586304
map,-170.23520475625992,74.79609300522134,-2.9663809537887573
map,-170.48015409708023,74.441150683444,-2.9620660543441772
map,-170.71721464395523,74.08135606674477,-2.9583100080490112
map,-170.9485073685646,73.7173729124479,-2.9642027616500854
map,-171.17659574747086,73.35036088852212,-2.975619673728943
map,-171.3979702591896,72.9794349852018,-2.9857343435287476
map,-171.61148649454117,72.60450364975259,-2.9914711713790894
map,-171.8168392777443,72.226306933444,-2.9954060316085815
map,-172.01505094766617,71.84569932846352,-2.9986661672592163
map,-172.20602995157242,71.46225358871743,-3.0022352933883667
map,-172.38728910684586,71.07554246811196,-3.006851553916931
map,-172.55771452188492,70.68409349350259,-3.0116761922836304
map,-172.71825224161148,70.29034044174477,-3.015464663505554
map,-172.86687284708023,69.89442064194009,-3.0181668996810913
map,-173.00481230020523,69.4971351805143,-3.0210198163986206
map,-173.13220793008804,69.09876634506509,-3.0237873792648315
map,-173.24597746133804,68.69902421860024,-3.0259045362472534
map,-173.3452816605568,68.29855729965493,-3.028905749320984
map,-173.42992216348648,67.8982582273893,-3.031182646751404
map,-173.50015836954117,67.49858476547524,-3.030422568321228
map,-173.5548763871193,67.1000404539518,-3.0285991430282593
map,-173.59216886758804,66.70267106918618,-3.026934504508972
map,-173.61449247598648,66.30826951889321,-3.0251492261886597
map,-173.62094694375992,65.91781999496743,-3.022119402885437
map,-173.61168485879898,65.53237535385415,-3.0185216665267944
map,-173.58878141641617,65.15227891830727,-3.0146254301071167
map,-173.54845243692398,64.7790184202604,-3.0109232664108276
map,-173.49028593301773,64.41347124008462,-3.0075820684432983
map,-173.41820341348648,64.05498887924477,-3.0057567358016968
map,-173.3320980668068,63.703434008639306,-3.004878878593445
map,-173.23103910684586,63.359588641207665,-3.002930521965027
map,-173.11478239297867,63.022972125094384,-3.0024813413619995
map,-172.9834652543068,62.69477083114907,-3.0026148557662964
map,-172.83635526895523,62.37599565414712,-3.002837061882019
map,-172.6762142777443,62.06520463852212,-3.0033077001571655
map,-172.50230985879898,61.76169969467446,-3.001958727836609
map,-172.3125210404396,61.4679718199186,-2.999071478843689
map,-172.1089077591896,61.18389131454751,-2.995780825614929
map,-171.8933773636818,60.907928484957665,-2.9918445348739624
map,-171.66365629434586,60.64167024521157,-2.9886430501937866
map,-171.42131620645523,60.38610078720376,-2.9863370656967163
map,-171.16873747110367,60.142276782076806,-2.98488986492157
map,-170.9039517045021,59.9121971311979,-2.982845187187195
map,-170.62744718790054,59.69756318954751,-2.979263663291931
map,-170.3416958451271,59.4977798643522,-2.977356791496277
map,-170.0480404496193,59.31273271469399,-2.974638819694519
map,-169.74614530801773,59.14405061630532,-2.975639224052429
map,-169.43724638223648,58.99100496200845,-2.9772337675094604
map,-169.1220913529396,58.85371019272134,-2.9761232137680054
map,-168.80020719766617,58.73480989364907,-2.973993182182312
map,-168.47173124551773,58.63549043564126,-2.972992777824402
map,-168.13806730508804,58.55073930649087,-2.9706400632858276
map,-167.79906278848648,58.48561098007485,-2.970173716545105
map,-167.45615202188492,58.44001390365884,-2.967107653617859
map,-167.10996061563492,58.40957261947915,-2.9654868841171265
map,-166.7615414261818,58.39737321762368,-2.965476870536804
map,-166.41161161661148,58.40130617050454,-2.9664686918258667
map,-166.06151396036148,58.42348100570962,-2.9674047231674194
map,-165.71219450235367,58.4633331480436,-2.967631697654724
map,-165.36487394571304,58.5212173643522,-2.966281771659851
map,-165.0201626420021,58.59594728378579,-2.9651511907577515
map,-164.6799984574318,58.689353961031884,-2.963049292564392
map,-164.34607511758804,58.79938508896157,-2.9596680402755737
map,-164.01924711465836,58.92473604111001,-2.9554985761642456
map,-163.70200163125992,59.0673599424772,-2.9507726430892944
map,-163.39465910196304,59.22465135483071,-2.948548674583435
map,-163.0984554886818,59.3959503355436,-2.946456789970398
map,-162.8142300248146,59.58232499985024,-2.9425724744796753
map,-162.5421810746193,59.7825699034147,-2.9399975538253784
map,-162.28255277872086,59.9949493589811,-2.937670588493347
map,-162.03635221719742,60.21898652939126,-2.933860659599304
map,-161.80722624063492,60.455448168795556,-2.929587244987488
map,-161.59213835000992,60.70281221298501,-2.9240821599960327
map,-161.39209562540054,60.96125413803384,-2.9205459356307983
map,-161.20657926797867,61.229923266451806,-2.9169105291366577
map,-161.03418546915054,61.5074119749479,-2.9150747060775757
map,-160.87576872110367,61.79320146469399,-2.912713885307312
map,-160.7336636185646,62.08750917343423,-2.9098633527755737
map,-160.60812956094742,62.389408129733056,-2.9068797826766968
map,-160.4978237748146,62.69814683822915,-2.9039806127548218
map,-160.40312772989273,63.013153094332665,-2.9021486043930054
map,-160.32816129922867,63.333431262057275,-2.9011954069137573
map,-160.2686977982521,63.65758134750649,-2.8992189168930054
map,-160.22566801309586,63.98461152939126,-2.8959015607833862
map,-160.2023373246193,64.31416704086587,-2.8928369283676147
map,-160.1969662308693,64.64522172836587,-2.89102303981781
map,-160.20757108926773,64.9776497068815,-2.8908079862594604
map,-160.23430448770523,65.31145097641274,-2.8931134939193726
map,-160.27893644571304,65.64470292953774,-2.8929589986801147
map,-160.33968168497086,65.97583391098306,-2.8894938230514526
map,-160.41679960489273,66.30373765854165,-2.8845967054367065
map,-160.50891691446304,66.62720872787759,-2.8800657987594604
map,-160.61948210000992,66.94556810287759,-2.879080653190613
map,-160.74715238809586,67.25801469711587,-2.882865309715271
map,-160.8902035355568,67.5646400633268,-2.8846110105514526
map,-161.0490933060646,67.86404039291665,-2.884433150291443
map,-161.22354704141617,68.15474321274087,-2.8844140768051147
map,-161.41069608926773,68.43650438217446,-2.8828552961349487
map,-161.61186796426773,68.70721055893227,-2.878346800804138
